   1	2  12   2 
   1	2  10   5 
   1	6  22  21 
   3	2   1   0 
   3	2  11   7 
   5	2   8   3 
   7	3  12   6   2 
  10	2   6   2 
  12	2  12  16 
  12	3   1   2   0 
  15	2   2   0 
  17	2   1   2 
  19	1   2 
  19	2   6  16 
  21	1   6 
  21	6  16  15 
  27	3  10   0   5 
  30	2   0   5 
  32	2  10   0 
  34	1   0 
  35	3  11   5   7 
  38	2   5   7 
  40	2  11   5 
  42	1   5 
  42	3   8   7   3 
  45	2   7   3 
  47	2   8   7 
  49	1   7 
  49	3   4   3   9 
  52	2   4   3 
  54	1   3 
  54	3  13   9  14 
  55	1   3 
  57	2  13   9 
  59	1   9 
  59	3  18  14  19 
  60	1   9 
  62	2  18  14 
  64	1  14 
  64	6  24  18 
  65	1  14 
  70	3  17  19  23 
  73	2  17  19 
  75	1  19 
  75	3  22  23  21 
  76	1  19 
  78	2  22  23 
  80	1  23 
  80	3  20  21  16 
  81	1  23 
  83	2  18  16 
  85	1  16 
  85	2  20  21 
  86	1  16 
  87	1  21 
  88	1  21 
