   1	1   0 
   1	1   5 
   1	1   8 
   1	1   9 
   1	1   2 
   1	1   4 
   1	1   1 
   2	1   8 
   2	1   9 
   2	1   2 
   2	2   5   0 
   4	2   8   5 
   6	1   5 
   6	2   0   8 
   8	1   8 
   8	2   0   5 
  10	1   5 
  10	1   0 
  10	2   1   4 
  12	2   8   5 
  14	2   0   8 
  16	1   8 
  16	2   5   0 
  17	1   8 
  18	1   5 
  18	1   8 
  18	1   0 
  19	2   5   9 
  21	2   8   5 
  23	1   5 
  23	2   9   8 
  23	2   0   2 
  25	1   8 
  25	2   9   5 
  27	1   5 
  27	1   9 
  28	2   8   5 
  30	2   9   8 
  32	1   8 
  32	2   5   9 
  33	1   8 
  34	1   5 
  34	1   9 
  34	1   8 
  35	1   5 
  35	6  10   8 
  41	2   5   0 
  43	1   0 
  43	2   2   5 
  45	1   5 
  45	2   2   0 
  47	1   0 
  47	1   2 
  47	6   9   6 
  53	2   5   0 
  55	2   2   5 
  57	1   5 
  57	2   0   2 
  58	1   5 
  59	1   0 
  59	1   2 
  59	1   5 
  60	1   0 
  61	2   0   1 
  63	1   1 
  63	2   4   0 
  65	1   0 
  65	2   4   1 
  67	1   1 
  67	1   4 
  68	2   0   1 
  70	2   4   0 
  72	1   0 
  72	2   1   4 
  73	1   0 
  74	1   4 
  74	1   1 
  75	2   0   2 
  77	2   5   0 
  79	1   0 
  79	2   2   5 
  81	1   5 
  81	2   2   0 
  83	1   0 
  83	1   2 
  83	2   1   4 
  85	2   5   0 
  87	2   2   5 
  89	1   5 
  89	2   0   2 
  90	1   5 
  91	1   0 
  91	1   2 
  91	2   5   6 
  93	2  10   5 
  95	1   5 
  95	2   6  10 
  97	1  10 
  97	2   6   5 
  99	1   5 
  99	1   6 
 100	2  10   5 
 102	2   6  10 
 104	1  10 
 104	2   5   6 
 105	1  10 
 106	1   5 
 106	1   6 
 107	1   5 
 107	1   6 
 108	2   0   2 
 110	2   5   0 
 112	1   0 
 112	2   2   5 
 114	1   5 
 114	2   2   0 
 116	1   0 
 116	1   2 
 117	2   5   0 
 119	2   2   5 
 121	1   5 
 121	2   0   2 
 122	1   5 
 123	1   0 
 123	1   2 
 123	1   5 
 124	1   0 
 125	2   0   1 
 127	1   1 
 127	2   4   0 
 129	1   0 
 129	2   4   1 
 131	1   1 
 131	1   4 
 132	2   0   1 
 134	2   4   0 
 136	1   0 
 136	2   1   4 
 137	1   0 
 138	1   4 
 138	1   1 
 139	1   4 
 139	1   1 
 140	2   0   2 
 142	2   5   0 
 144	1   0 
 144	2   2   5 
 146	1   5 
 146	2   2   0 
 148	1   0 
 148	1   2 
 148	2   1   4 
 150	2   5   0 
 152	2   2   5 
 154	1   5 
 154	2   0   2 
 155	1   5 
 156	1   2 
 156	1   0 
 156	1   5 
 157	1   0 
 157	2   2  10 
 159	2   6   2 
 161	1   2 
 161	2  10   6 
 163	1   6 
 163	2   5   0 
 165	2  10   2 
 167	1   2 
 167	1  10 
