   1	1   7 
   1	1   6 
   1	1   2 
   2	2   2   7 
   4	1   7 
   4	1   2 
   1	1   9 
   4	2   6   9 
   6	2   7   2 
   6	1   6 
   8	1   2 
   6	1   9 
   1	1   1 
   1	1   8 
   1	1  10 
   8	2   9   6 
   1	1  11 
  10	2   2   7 
   1	1   0 
  12	1   7 
  10	1   6 
  13	1   7 
  12	1   2 
   1	1   5 
   1	1   4 
  12	2   8  10 
  13	1   2 
  14	2   6   9 
  16	1   6 
  14	1   8 
  17	1   6 
  16	1   9 
  14	1  10 
  14	1  14 
  16	2  14  11 
  18	1  11 
  18	1  14 
  19	2  11  14 
  21	1  14 
  22	2  14  11 
  24	1  11 
  25	1  11 
  17	1   9 
  24	1  14 
  25	1  14 
  26	2   7  11 
  28	1   7 
  28	1  11 
  29	2  11   7 
  31	1   7 
  16	2   5   0 
  18	1   0 
  18	1   5 
  18	2   4   1 
  20	1   1 
  20	1   4 
  20	2   0   5 
  22	1   5 
  22	2   1   4 
  24	1   4 
  24	2   5   0 
  26	1   0 
  27	1   0 
  26	1   5 
  27	1   5 
  26	2   4   1 
  28	1   1 
  29	1   1 
  28	1   4 
  29	1   4 
  30	2   1   0 
  32	1   1 
  32	1   0 
  28	2   9  14 
  30	1   9 
  30	1  14 
  31	2  10   8 
  33	1   8 
  33	2   5   6 
  35	1   6 
  35	2  14   9 
  37	1   9 
  35	1   5 
  38	2   8  10 
  35	2   0   1 
  37	1   1 
  40	1   8 
  41	1   8 
  40	1  10 
  41	1  10 
  38	2   1   0 
  40	1   1 
  41	1   1 
  40	1   0 
  41	1   0 
  40	2   7  11 
  40	2   9  14 
  42	6  10   7 
  42	2   8   4 
  48	2   6   5 
  42	1  11 
  42	1   9 
  50	1   5 
  48	1  10 
  43	1  11 
  42	1  14 
  49	1  10 
  43	1   9 
  44	1   8 
  43	1  14 
  44	1   4 
  50	2  14  10 
  52	1  10 
  50	2   4   8 
  52	1  14 
  52	1   8 
  53	2   8   4 
  55	1   8 
  56	1   8 
  55	1   4 
  56	1   4 
  53	2  10  14 
  50	2   7   2 
  52	1   2 
  55	1  14 
  52	1   7 
  53	2   2   7 
  55	1   7 
  55	2   5   6 
  57	1   6 
  57	1   5 
  58	1   6 
  57	2   0   8 
  59	1   0 
  59	1   8 
  60	2   8   0 
  62	2   6   4 
  64	2  14  10 
  66	1  14 
  66	1  10 
  64	1   0 
  64	1   6 
  64	1   5 
  67	1  10 
  67	1  14 
  64	2   7   2 
  65	2   0   8 
  67	1   0 
  66	1   2 
  66	1   7 
  67	2   5   9 
  67	1   2 
  68	1   0 
  69	1   5 
  69	1   9 
  67	1   8 
  67	1   7 
  68	2   7  11 
  67	1   4 
  69	2   2   1 
  70	2  14  10 
  72	1  14 
  71	1   1 
  68	1   8 
  72	1  10 
  70	1   7 
  70	1  11 
  72	2   9   5 
  74	2   4   6 
  76	1   6 
  77	2   6   4 
  79	6  13   8 
  79	1   5 
  85	2   5   9 
  79	1   4 
  79	1   6 
  80	1   4 
  80	1   6 
  79	2  11   7 
  79	1   2 
  81	1   7 
  82	2   7  11 
  84	1  11 
  85	1  11 
  84	1   7 
  85	1   7 
  86	6  14  11 
  92	2  14  13 
  94	2  10  11 
  94	1  13 
  87	1   9 
  88	1   9 
  94	1  14 
  87	1   5 
  96	1  11 
  87	2   1   2 
  89	1   2 
  88	1   5 
  96	2  13  14 
  98	1  14 
  89	2   0   5 
  91	1   0 
  91	1   5 
  91	2   2   1 
  93	2   5   0 
  95	1   0 
  93	1   2 
  94	1   2 
  93	1   1 
  94	1   1 
  96	2   6   1 
  98	2   9   4 
 100	2  14  13 
  98	1   6 
 100	1   9 
  98	1   1 
  98	2   2   7 
 100	1   7 
 100	1   2 
 102	1  13 
 100	2   1   6 
 102	1  14 
 103	1  13 
 102	2   7   2 
 100	1   4 
 104	1   2 
 103	1  14 
 102	2   4   9 
 104	1   9 
 102	1   6 
 104	2  11  10 
 104	2   0   5 
 106	6   7   5 
 112	1  11 
 112	2   9   4 
 114	2   2   5 
 114	2  14  13 
 116	1   2 
 116	1  14 
 116	1  13 
 117	2  13  14 
 116	1   5 
 119	1  14 
 112	1   7 
 106	1   0 
 114	1   4 
 113	1   7 
 113	1  11 
 107	1   0 
 114	2  11   7 
 114	1   9 
 115	1   4 
 106	1  10 
 107	1  10 
 116	2   6   1 
 118	1   6 
 116	1   7 
 116	1  11 
 118	2   7  11 
 119	1   6 
 120	1  11 
 117	1   5 
 117	1   2 
 118	2   0   5 
 115	1   9 
