   1	2   9   8 
   3	2   2  14 
   5	3   2   7  14 
   8	2   7  14 
  10	3   9  14   8 
  13	2  14   8 
  15	3   2   7   0 
  18	2   0  15 
  20	3   9  14  15 
  23	3   9   0  15 
  26	2  15   3 
  28	3  10   8   3 
  31	6  12   7 
  31	3  10  15   3 
  37	3   9   0   1 
  40	2   1  13 
  42	3  10  15  13 
  45	3  10   1  13 
  48	2  13   6 
  50	3   7   3   6 
  53	3  10   1   4 
  56	2  10   5 
  58	3  10   8   5 
  61	2   8   5 
  63	2   4  16 
  63	3   7  13   6 
  66	6  10   7 
  72	3  10  13  16 
  75	6  13   6 
  75	3  10   4  16 
  78	2  10  11 
  80	2  16  21 
  80	2   5  11 
  81	6  14  13 
  87	3  20  14  21 
  82	3  10   4  11 
  85	3  10   5  11 
  88	2  11  17 
  90	2   3   5 
  90	3  20  16  21 
  93	3  20  16  17 
  96	3  20  11  17 
  99	2  20  22 
 101	2  17  23 
 103	3  10   5   3 
 103	3  28  21  23 
 106	2   3  22 
 108	3  20  11  22 
 111	3  20   3  22 
 114	2  14   3 
 114	2  22  29 
 116	6  20  14 
 116	3  28  17  23 
 119	3  28  17  29 
 114	6  25  18 
 122	6  26  25 
 122	3  28  22  29 
 125	2  29  35 
 128	3  14   3  20 
 131	1  20 
 127	3  34  23  35 
 130	3  34  29  35 
 133	3  28  20  22 
 136	3  28  22  20 
 139	2  20  29 
 141	3  34  29  20 
 144	2  20  35 
 146	3  26  35  20 
 149	1  20 
