   1	1   2 
   1	1  15 
   1	1   8 
   1	6  10   5 
   2	6  12   8 
   7	2  14  10 
   7	6   5   2 
   9	1  14 
   9	1  10 
  10	1  10 
   9	6  13  12 
  13	6  10   5 
  19	2  14  10 
  21	2  15  13 
  23	6  10   5 
  29	2  10  14 
  31	1  14 
  31	2   5  10 
  33	1  10 
  33	6  13   5 
  39	2  13  14 
  39	6   6   5 
  41	1  14 
  41	1  13 
  45	2  10  14 
  47	2  13  10 
  49	1  10 
  49	2  14  13 
  50	1  10 
  49	6  11   6 
  51	1  14 
  51	1  13 
  51	1  10 
  52	1  14 
  55	2  14  15 
  57	1  15 
  57	2  11  14 
  59	1  14 
  59	2  11  15 
  61	1  15 
  61	1  11 
  62	2  14  15 
  64	2  11  14 
  66	1  14 
  66	2  15  11 
  67	1  14 
  68	1  15 
  68	1  11 
  68	2  14  13 
  70	2  10  14 
  72	1  14 
  72	2  13  10 
  74	1  10 
  74	2  13  14 
  76	1  14 
  76	1  13 
  76	2  15  11 
  78	2  10  14 
  80	2  13  10 
  82	1  10 
  82	2  14  13 
  84	1  14 
  85	1  14 
  86	2  14  15 
  88	1  15 
  88	2  11  14 
  90	1  14 
  90	2  11  15 
  92	1  15 
  92	1  11 
  93	2  14  15 
  95	2  11  14 
  97	1  14 
  97	2  15  11 
  99	2  10  14 
